GRID_ID,N_Green,N_Grocery,N_Pharmacy,N_Transport
BK-53,BF-48,BI-50,BS-45,BQ-41
BL-53,BF-48,BP-54,BS-45,BQ-41
BM-53,BF-48,BP-54,BS-45,BQ-41
BN-53,BU-58,BP-54,BS-45,BQ-41
BO-53,BU-58,BP-54,BS-45,BQ-41
BP-53,BU-58,BP-54,BS-45,BQ-41
BR-53,BU-58,BR-54,BS-45,BQ-41
BS-53,BU-58,BR-54,BS-45,BQ-41
BT-53,BU-58,BS-54,BS-45,BQ-41
BU-53,BU-58,BS-54,BS-45,BQ-41
BV-53,BX-48,BX-53,BS-45,BQ-41
BW-53,CB-56,BW-54,BS-45,BQ-41
BY-53,CB-56,BX-53,BS-45,BQ-41
BZ-53,CB-56,BY-52,BS-45,BQ-41
CA-53,CC-55,BY-52,BS-45,BQ-41
AM-52,AL-53,AN-54,L-66,AK-75
AN-52,AM-51,AN-54,BS-45,AK-75
AO-52,AM-51,AN-54,BS-45,AK-75
AP-52,AM-51,AQ-51,BS-45,AK-75
AQ-52,AM-51,AQ-51,BS-45,AK-75
AR-52,AO-48,AQ-51,BS-45,BQ-41
AS-52,AP-48,AQ-51,BS-45,BQ-41
AT-52,AQ-47,AV-52,BS-45,BQ-41
AU-52,AQ-47,AV-52,BS-45,BQ-41
AW-52,BB-49,AV-52,BS-45,BQ-41
AX-52,BB-49,AW-50,BS-45,BQ-41
AY-52,BB-49,AZ-54,BS-45,BQ-41
AZ-52,BB-49,BA-53,BS-45,BQ-41
BA-52,BB-49,BA-53,BS-45,BQ-41
BB-52,BB-49,BA-53,BS-45,BQ-41
BC-52,BD-49,BA-53,BS-45,BQ-41
BD-52,BD-49,BA-53,BS-45,BQ-41
BE-52,BD-49,BH-51,BS-45,BQ-41
BF-52,BD-49,BH-51,BS-45,BQ-41
BG-52,BD-49,BH-51,BS-45,BQ-41
BH-52,BE-48,BH-51,BS-45,BQ-41
BI-52,BF-48,BH-51,BS-45,BQ-41
BJ-52,BF-48,BI-50,BS-45,BQ-41
BK-52,BF-48,BI-50,BS-45,BQ-41
BL-52,BF-48,BI-50,BS-45,BQ-41
BM-52,BF-48,BP-54,BS-45,BQ-41
BN-52,BT-46,BP-54,BS-45,BQ-41
BO-52,BT-46,BP-54,BS-45,BQ-41
BP-52,BT-46,BQ-53,BS-45,BQ-41
BQ-52,BU-58,BQ-53,BS-45,BQ-41
BR-52,BV-47,BQ-53,BS-45,BQ-41
BS-52,BV-47,BR-54,BS-45,BQ-41
BT-52,BX-48,BR-54,BS-45,BQ-41
BU-52,BX-48,BS-54,BS-45,BQ-41
BV-52,BX-48,BX-53,BS-45,BQ-41
BW-52,BX-48,BX-53,BS-45,BQ-41
BX-52,BX-48,BX-53,BS-45,BQ-41
BZ-52,CC-49,BY-52,BS-45,BQ-41
CA-52,CD-51,BY-52,BS-45,BQ-41
CB-52,CD-51,BY-52,BS-45,BQ-41
AN-51,AM-51,AP-51,BS-45,AK-75
AO-51,AM-51,AP-51,BS-45,AK-75
AR-51,AP-48,AQ-51,BS-45,BQ-41
AS-51,AP-48,AQ-51,BS-45,BQ-41
AT-51,AQ-47,AV-52,BS-45,BQ-41
AU-51,AQ-47,AV-52,BS-45,BQ-41
AV-51,BB-49,AV-52,BS-45,BQ-41
AW-51,BB-49,AV-52,BS-45,BQ-41
AX-51,BB-49,AW-50,BS-45,BQ-41
AY-51,BB-49,AW-50,BS-45,BQ-41
AZ-51,BB-49,BA-53,BS-45,BQ-41
BA-51,BB-49,BA-53,BS-45,BQ-41
BB-51,BB-49,BA-53,BS-45,BQ-41
BC-51,BD-49,BA-53,BS-45,BQ-41
BD-51,BD-49,BH-51,BS-45,BQ-41
BE-51,BD-49,BH-51,BS-45,BQ-41
BF-51,BD-49,BH-51,BS-45,BQ-41
BG-51,BE-48,BH-51,BS-45,BQ-41
BI-51,BF-48,BH-51,BS-45,BQ-41
BJ-51,BF-48,BI-50,BS-45,BQ-41
BK-51,BF-48,BI-50,BS-45,BQ-41
BL-51,BF-48,BI-50,BS-45,BQ-41
BM-51,BF-48,BO-48,BS-45,BQ-41
BN-51,BT-46,BO-48,BS-45,BQ-41
BO-51,BT-46,BP-54,BS-45,BQ-41
BP-51,BT-46,BO-48,BS-45,BQ-41
BQ-51,BU-46,BQ-53,BS-45,BQ-41
BR-51,BU-46,BQ-53,BS-45,BQ-41
BS-51,BV-47,BR-54,BS-45,BQ-41
BT-51,BV-47,BR-54,BS-45,BQ-41
BU-51,BX-48,BX-53,BS-45,BQ-41
BV-51,BX-48,BX-53,BS-45,BQ-41
BW-51,BX-48,BX-53,BS-45,BQ-41
BX-51,BX-48,BY-52,BS-45,BQ-41
BY-51,BX-48,BY-52,BS-45,BQ-41
BZ-51,CC-49,BY-52,BS-45,BQ-41
