GRID_ID,N_Green,N_Grocery,N_Pharmacy,N_Transport
BR-42,BS-42,BM-44,BS-45,BQ-41
BV-42,BV-43,BM-44,BS-45,BQ-41
BW-42,BV-43,CG-42,BS-45,BQ-41
BX-42,BX-43,CG-42,BS-45,BQ-41
CB-42,CA-42,CG-42,BS-45,BQ-41
CC-42,CA-42,CG-42,BS-45,BQ-41
CD-42,CA-41,CG-42,BS-45,BQ-41
CE-42,CE-45,CG-42,BS-45,BQ-41
CF-42,CE-45,CG-42,BS-45,BQ-41
CH-42,CF-46,CG-42,BS-45,BQ-41
CI-42,CM-42,CG-42,BS-45,BQ-41
CJ-42,CM-41,CG-42,BS-45,BQ-41
CK-42,CM-42,CG-42,BS-45,BQ-41
CL-42,CM-42,CG-42,BS-45,BQ-41
AS-41,AP-45,AR-42,BS-45,BQ-41
AT-41,AP-45,AS-42,BS-45,BQ-41
AU-41,AP-45,AT-43,BS-45,BQ-41
AV-41,AP-45,AU-43,BS-45,BQ-41
AW-41,AP-45,AU-43,BS-45,BQ-41
AX-41,BB-48,AU-43,BS-45,BQ-41
AY-41,BB-48,AU-43,BS-45,BQ-41
AZ-41,BD-47,AY-36,BS-45,BQ-41
BA-41,BE-46,AZ-46,BS-45,BQ-41
BB-41,BE-46,BD-37,BS-45,BQ-41
BC-41,BE-46,BG-43,BS-45,BQ-41
BD-41,BE-46,BG-43,BS-45,BQ-41
BE-41,BE-46,BG-43,BS-45,BQ-41
BF-41,BE-46,BG-43,BS-45,BQ-41
BG-41,BE-46,BG-43,BS-45,BQ-41
BH-41,BE-46,BK-40,BS-45,BQ-41
BI-41,BE-46,BK-41,BS-45,BQ-41
BJ-41,BO-38,BK-41,BS-45,BQ-41
BM-41,BO-38,BL-42,BS-45,BQ-41
BN-41,BO-38,BL-41,BS-45,BQ-41
BU-41,BU-42,BM-44,BS-45,BQ-41
BY-41,BY-42,CG-42,BS-45,BQ-41
BZ-41,BZ-42,CG-39,BS-45,BQ-41
CB-41,CA-41,CG-39,BS-45,BQ-41
CC-41,CA-41,CG-42,BS-45,BQ-41
CD-41,CA-41,CG-39,BS-45,BQ-41
CE-41,CA-41,CG-42,BS-45,BQ-41
CF-41,CA-41,CG-42,BS-45,BQ-41
CG-41,CE-45,CG-42,BS-45,BQ-41
CH-41,CM-41,CG-42,BS-45,BQ-41
CI-41,CM-41,CG-42,BS-45,BQ-41
CJ-41,CM-41,CG-39,BS-45,BQ-41
CK-41,CM-41,CG-42,BS-45,BQ-41
CL-41,CM-41,CG-39,BS-45,BQ-41
AU-40,AP-45,AT-43,BS-45,BQ-41
AV-40,AP-45,AT-43,BS-45,BQ-41
AW-40,AP-45,AU-43,BS-45,BQ-41
AX-40,AZ-33,AY-36,BS-45,BQ-41
AY-40,AZ-33,AY-36,BS-45,BQ-41
AZ-40,AZ-33,AY-36,BS-45,BQ-41
BA-40,BE-46,AY-36,BS-45,BQ-41
BC-40,BE-46,BD-37,BS-45,BQ-41
BD-40,BE-46,BD-37,BS-45,BQ-41
BE-40,BE-46,BG-43,BS-45,BQ-41
BG-40,BE-46,BG-43,BS-45,BQ-41
BI-40,BO-38,BK-40,BS-45,BQ-41
BJ-40,BO-38,BK-40,BS-45,BQ-41
BL-40,BO-38,BL-41,BS-45,BQ-41
BM-40,BO-38,BL-41,BS-45,BQ-41
BN-40,BO-38,BL-41,BS-45,BQ-41
CA-40,CA-41,CG-39,BS-45,BQ-41
CC-40,CA-41,CG-39,BS-45,BQ-41
CD-40,CA-41,CG-39,BS-45,BQ-41
CE-40,CA-41,CG-39,BS-45,BQ-41
CF-40,CA-41,CG-39,BS-45,BQ-41
CG-40,CA-41,CG-39,BS-45,BQ-41
CH-40,CM-41,CG-39,BS-45,BQ-41
CI-40,CM-41,CG-39,BS-45,BQ-41
CJ-40,CM-41,CG-39,BS-45,BQ-41
CK-40,CM-41,CG-39,BS-45,BQ-41
CL-40,CN-40,CG-39,BS-45,BQ-41
CM-40,CM-41,CG-39,BS-45,BQ-41
AW-39,AZ-33,AY-36,BS-45,BQ-41
AX-39,AZ-33,AY-36,BS-45,BQ-41
AY-39,AZ-33,AY-36,BS-45,BQ-41
AZ-39,AZ-33,AY-36,BS-45,BQ-41
BA-39,AZ-33,AY-36,BS-45,BQ-41
BE-39,BE-46,BD-37,BS-45,BQ-41
BI-39,BO-38,BK-40,BS-45,BQ-41
BJ-39,BO-38,BK-40,BS-45,BQ-41
BK-39,BO-38,BK-40,BS-45,BQ-41
BL-39,BO-38,BK-40,BS-45,BQ-41
BM-39,BO-38,BL-41,BS-45,BQ-41
BN-39,BO-38,BL-41,BS-45,BQ-41
CE-39,CA-41,CG-39,BS-45,BQ-41
CF-39,CA-41,CG-39,BS-45,BQ-41
CH-39,CM-41,CG-39,BS-45,BQ-41
CI-39,CM-41,CG-39,BS-45,BQ-41
CJ-39,CN-40,CG-39,BS-45,BQ-41
CK-39,CN-40,CG-39,BS-45,BQ-41
CL-39,CN-40,CG-39,BS-45,BQ-41
CM-39,CN-40,CG-39,BS-45,BQ-41
CN-39,CN-40,CG-39,BS-45,BQ-41
AW-38,AZ-33,AY-36,BS-45,BQ-41
AX-38,AZ-33,AY-36,BS-45,BQ-41
AY-38,AZ-33,AY-36,BS-45,BQ-41
AZ-38,AZ-33,AY-36,BS-45,BQ-41
BA-38,AZ-33,AY-36,BS-45,BQ-41
BJ-38,BK-34,BK-40,BS-45,BQ-41
BK-38,BO-38,BK-40,BS-45,BQ-41
BL-38,BO-38,BK-40,BS-45,BQ-41
BM-38,BO-38,BK-40,BS-45,BQ-41
BN-38,BO-38,BL-41,BS-45,BQ-41
AY-37,AZ-33,AY-36,BS-45,BQ-41
AZ-37,AZ-33,AY-36,BS-45,BQ-41
BA-37,AZ-33,AY-36,BS-45,BQ-41
BF-37,BK-34,BE-36,BS-45,BQ-41
BJ-37,BK-34,BK-40,BS-45,BQ-41
BK-37,BK-34,BK-40,BS-45,BQ-41
BL-37,BM-34,BK-40,BS-45,BQ-41
BM-37,BO-38,BK-40,BS-45,BQ-41
BN-37,BO-38,BK-40,BS-45,BQ-41
BO-37,BO-38,BL-41,BS-45,BQ-41
BP-37,BP-38,BL-41,BS-45,BQ-41
AZ-36,AZ-33,AY-36,BS-45,BQ-41
BA-36,AZ-33,AY-36,BS-45,BQ-41
BB-36,AZ-33,BC-36,BS-45,BQ-41
BF-36,BK-34,BE-36,BS-45,BQ-41
BH-36,BK-34,BE-36,BS-45,BQ-41
BJ-36,BK-34,BH-33,BS-45,BQ-41
BK-36,BK-34,BK-40,BS-45,BQ-41
BL-36,BM-34,BJ-32,BS-45,BQ-41
BM-36,BM-34,BK-40,BS-45,BQ-41
BO-36,BP-38,BL-41,BS-45,BQ-41
AZ-35,AZ-33,AY-35,BS-45,BQ-41
BA-35,AZ-33,BA-34,BS-45,BQ-41
BB-35,BA-32,BA-34,BS-45,BQ-41
BC-35,BA-32,BC-36,BS-45,BQ-41
BD-35,BA-32,BD-36,BS-45,BQ-41
BE-35,BA-32,BD-36,BS-45,BQ-41
BF-35,BK-34,BE-36,BS-45,BQ-41
BG-35,BK-34,BE-36,BS-45,BQ-41
BH-35,BK-34,BH-33,BS-45,BQ-41
BI-35,BK-34,BH-33,BS-45,BQ-41
BJ-35,BK-34,BH-33,BS-45,BQ-41
BK-35,BK-34,BJ-32,BS-45,BQ-41
BL-35,BK-34,BJ-32,BS-45,BQ-41
BM-35,BM-34,BJ-32,BS-45,BQ-41
BN-35,BM-34,BK-31,BS-45,BQ-41
BB-34,BA-32,BA-34,BS-45,BQ-41
BC-34,BA-32,BA-34,BS-45,BQ-41
BD-34,BA-32,BD-36,BS-45,BQ-41
BE-34,BA-32,BD-36,BS-45,BQ-41
BF-34,BK-34,BH-33,BS-45,BQ-41
BG-34,BK-34,BH-33,BS-45,BQ-41
BH-34,BK-34,BH-33,BS-45,BQ-41
BI-34,BK-34,BH-33,BS-45,BQ-41
BJ-34,BK-34,BJ-32,BS-45,BQ-41
BC-33,BA-32,BB-33,BS-45,BQ-41
BD-33,BA-32,BB-33,BS-45,BQ-41
BE-33,BA-32,BB-33,BS-45,BQ-41
BF-33,BA-32,BH-33,BS-45,BQ-41
BG-33,BK-33,BH-33,BS-45,BQ-41
BI-33,BK-33,BH-33,BS-45,BQ-41
BJ-33,BK-33,BJ-32,BS-45,BQ-41
BL-33,BL-34,BK-31,BS-45,BQ-41
BB-32,BA-32,BB-33,BS-45,BQ-41
BC-32,BA-32,BB-33,BS-45,BQ-41
BD-32,BA-31,BB-33,BS-45,BQ-41
BE-32,BA-32,BB-33,BS-45,BQ-41
BF-32,BA-31,BH-33,BS-45,BQ-41
BG-32,BK-33,BH-33,BS-45,BQ-41
BH-32,BK-33,BH-33,BS-45,BQ-41
BI-32,BK-33,BH-33,BS-45,BQ-41
BK-32,BK-33,BJ-32,BS-45,BQ-41
BL-32,BM-31,BK-31,BS-45,BQ-41
BM-32,BM-33,BK-31,BS-45,BQ-41
AX-31,AY-30,AY-33,BS-45,BQ-41
AY-31,AZ-32,AY-33,BS-45,BQ-41
BB-31,BA-31,BB-33,BS-45,BQ-41
BC-31,BA-31,BB-33,BS-45,BQ-41
BD-31,BA-30,BF-29,BS-45,BQ-41
BE-31,BA-31,BF-29,BS-45,BQ-41
BF-31,BA-30,BG-29,BS-45,BQ-41
BG-31,BK-33,BH-33,BS-45,BQ-41
BH-31,BK-28,BG-29,BS-45,BQ-41
BI-31,BK-33,BJ-32,BS-45,BQ-41
BJ-31,BK-28,BJ-32,BS-45,BQ-41
BL-31,BM-31,BK-31,BS-45,BQ-41
AX-30,AY-30,AY-33,BS-45,BQ-41
BB-30,BA-30,BB-33,BS-45,BQ-41
BC-30,BA-30,BB-33,BS-45,BQ-41
BD-30,BA-30,BF-29,BS-45,BQ-41
BE-30,BA-30,BF-29,BS-45,BQ-41
BF-30,BG-26,BG-29,BS-45,BQ-41
BG-30,BK-28,BG-29,BS-45,BQ-41
BH-30,BK-28,BG-29,BS-45,BQ-41
BI-30,BK-28,BJ-32,BS-45,BQ-41
BJ-30,BK-28,BK-31,BS-45,BQ-41
BK-30,BM-31,BK-31,BS-45,BQ-41
BL-30,BM-31,BK-31,BS-45,BQ-41
AX-29,AY-29,AY-33,BS-45,BQ-41
BB-29,BA-29,BF-29,BS-45,BQ-41
BC-29,BA-29,BF-29,BS-45,BQ-41
BD-29,BA-29,BF-29,BS-45,BQ-41
BE-29,BG-26,BF-29,BS-45,BQ-41
BH-29,BK-28,BG-29,BS-45,BQ-41
BI-29,BK-28,BG-29,BS-45,BQ-41
BJ-29,BK-28,BK-31,BS-45,BQ-41
BK-29,BK-28,BK-31,BS-45,BQ-41
BL-29,BK-28,BK-31,BS-45,BQ-41
AX-28,AY-28,BB-25,BS-45,BQ-41
BB-28,BA-28,BC-25,BS-45,BQ-41
BC-28,BA-28,BF-29,BS-45,BQ-41
BD-28,BA-27,BF-29,BS-45,BQ-41
BE-28,BG-26,BF-29,BS-45,BQ-41
BF-28,BG-26,BF-29,BS-45,BQ-41
BG-28,BG-26,BF-29,BS-45,BQ-41
BI-28,BK-28,BG-29,BS-45,BQ-41
AY-27,AY-28,BB-25,BS-45,BQ-41
AZ-27,AZ-28,BB-25,BS-45,BQ-41
BB-27,BA-27,BC-25,BS-45,BQ-41
BC-27,BA-27,BC-25,BS-45,BQ-41
BD-27,BA-27,BC-25,BS-45,BQ-41
BE-27,BG-26,BF-29,BS-45,BQ-41
BF-27,BG-26,BF-29,BS-45,BQ-41
BG-27,BG-26,BF-29,BS-45,BQ-41
AY-26,AZ-28,BB-25,BS-45,BQ-41
AZ-26,BA-27,BB-25,BS-45,BQ-41
BA-26,BA-27,BB-25,BS-45,BQ-41
BB-26,BA-27,BC-25,BS-45,BQ-41
BC-26,BA-27,BC-25,BS-45,BQ-41
BD-26,BG-26,BC-25,BS-45,BQ-41
BE-26,BG-26,BC-25,BS-45,BQ-41
BF-26,BG-26,BD-24,BS-45,BQ-41
AY-25,BA-27,BB-25,BS-45,BQ-41
AZ-25,BA-27,BB-25,BS-45,BQ-41
BA-25,BA-27,BB-25,BS-45,BQ-41
BD-25,BG-25,BC-25,BS-45,BQ-41
BE-25,BG-25,BD-24,BS-45,BQ-41
BF-25,BG-25,BD-24,BS-45,BQ-41
BA-24,BA-27,BB-25,BS-45,BQ-41
BB-24,BA-27,BB-25,BS-45,BQ-41
BE-24,BG-24,BD-24,BS-45,BQ-41
BF-24,BG-24,BD-24,BS-45,BQ-41
AY-23,BA-27,BB-25,BS-45,BQ-41
AZ-23,BA-27,BB-25,BS-45,BQ-41
BA-23,BA-27,BB-25,BS-45,BQ-41
BB-23,BG-24,BC-24,BS-45,BQ-41
BC-23,BG-24,BC-24,BS-45,BQ-41
BD-23,BG-24,BD-24,BS-45,BQ-41
BE-23,BG-24,BD-24,BS-45,BQ-41
BF-23,BG-24,BD-24,BS-45,BQ-41
AW-22,AZ-18,BB-25,BS-45,BQ-41
AX-22,AZ-18,BB-20,BS-45,BQ-41
AY-22,AZ-18,BB-25,BS-45,BQ-41
AZ-22,AZ-18,BB-20,BS-45,BQ-41
BA-22,AZ-18,BB-25,BS-45,BQ-41
BB-22,BE-18,BB-20,BS-45,BQ-41
BC-22,BG-24,BD-24,BS-45,BQ-41
BD-22,BF-19,BD-24,BS-45,BQ-41
BE-22,BG-24,BD-24,BS-45,BQ-41
BF-22,BH-24,BD-24,BS-45,BQ-41
BG-22,BH-24,BD-24,BS-45,BQ-41
BH-22,BH-24,BD-24,BS-45,BQ-41
AW-21,AZ-18,BB-20,BS-45,BQ-41
AX-21,AZ-18,BB-20,BS-45,BQ-41
AY-21,AZ-18,BB-20,BS-45,BQ-41
AZ-21,AZ-18,BB-20,BS-45,BQ-41
BA-21,AZ-18,BB-20,BS-45,BQ-41
BB-21,AZ-18,BB-20,BS-45,BQ-41
BC-21,BE-18,BB-20,BS-45,BQ-41
BD-21,BF-19,BC-19,BS-45,BQ-41
BE-21,BF-19,BC-19,BS-45,BQ-41
BF-21,BF-19,BC-19,BS-45,BQ-41
BG-21,BF-19,BD-24,BS-45,BQ-41
BH-21,BF-19,BC-19,BS-45,BQ-41
AV-20,AZ-18,BB-20,BS-45,BQ-41
AW-20,AZ-18,BB-20,BS-45,BQ-41
AX-20,AZ-18,BB-20,BS-45,BQ-41
AY-20,AZ-18,BB-20,BS-45,BQ-41
AZ-20,AZ-18,BB-20,BS-45,BQ-41
BA-20,AZ-18,BB-20,BS-45,BQ-41
BC-20,BE-18,BB-20,BS-45,BQ-41
BD-20,BE-18,BC-19,BS-45,BQ-41
BE-20,BF-19,BC-19,BS-45,BQ-41
BF-20,BF-19,BC-19,BS-45,BQ-41
BG-20,BF-19,BC-19,BS-45,BQ-41
BH-20,BF-19,BC-19,BS-45,BQ-41
AV-19,AZ-18,BB-19,BS-45,BQ-41
AW-19,AZ-18,BB-20,BS-45,BQ-41
AX-19,AZ-18,BB-19,BS-45,BQ-41
AY-19,AZ-18,BB-20,BS-45,BQ-41
AZ-19,AZ-18,BB-19,BS-45,BQ-41
BA-19,AZ-18,BB-20,BS-45,BQ-41
BD-19,BE-18,BC-19,BS-45,BQ-41
BE-19,BF-19,BC-19,BS-45,BQ-41
BG-19,BF-19,BC-19,BS-45,BQ-41
AV-18,AZ-18,BB-19,BS-45,BQ-41
AW-18,AZ-18,BB-19,BS-45,BQ-41
AX-18,AZ-18,BB-19,BS-45,BQ-41
AY-18,AZ-18,BB-19,BS-45,BQ-41
BA-18,AZ-18,BB-19,BS-45,BQ-41
BB-18,AZ-18,BB-19,BS-45,BQ-41
AW-17,AZ-18,BB-19,BS-45,BQ-41
AX-17,AZ-18,BB-19,BS-45,BQ-41
AY-17,AZ-18,BB-19,BS-45,BQ-41
AZ-17,AZ-18,BB-19,BS-45,BQ-41
BA-17,AZ-18,BB-19,BS-45,BQ-41
BB-17,BD-17,BB-19,BS-45,BQ-41
BC-17,BD-17,BB-19,BS-45,BQ-41
BG-17,BF-18,BC-19,BS-45,BQ-41
BJ-17,BF-17,BC-19,BS-45,BQ-41
AY-16,AZ-18,BB-19,BS-45,BQ-41
BA-16,AZ-18,BB-19,BS-45,BQ-41
BB-16,BD-16,BB-19,BS-45,BQ-41
BC-16,BD-17,BB-19,BS-45,BQ-41
BF-16,BF-17,BC-19,BS-45,BQ-41
BJ-16,BF-17,BC-19,BS-45,BQ-41
BC-15,BD-16,BB-19,BS-45,BQ-41
BD-15,BD-16,BB-19,BS-45,BQ-41
BE-15,BD-16,BB-19,BS-45,BQ-41
BF-15,BE-16,BC-19,BS-45,BQ-41
BG-15,BF-17,BC-19,BS-45,BQ-41
BH-15,BF-17,BC-19,BS-45,BQ-41
BC-14,BD-16,BB-19,BS-45,BQ-41
BD-14,BD-16,BB-19,BS-45,BQ-41
BE-14,BD-16,BB-19,BS-45,BQ-41
BF-14,BE-16,BC-19,BS-45,BQ-41
BG-14,BF-17,BC-19,BS-45,BQ-41
BE-13,BD-16,BB-19,BS-45,BQ-41
BF-13,BH-11,BB-19,BS-45,BQ-41
BG-13,BH-11,BC-19,BS-45,BQ-41
BH-13,BH-11,BC-19,BS-45,BQ-41
BD-12,BH-11,BB-19,BS-45,BQ-41
BE-12,BH-11,BB-19,BS-45,BQ-41
BF-12,BH-11,BB-19,BS-45,BQ-41
BG-12,BH-11,BC-19,BS-45,BQ-41
BI-12,BH-11,BC-19,BS-45,BQ-41
BJ-12,BH-11,BC-19,BS-45,BQ-41
BI-11,BH-11,BC-19,BS-45,BQ-41
BJ-11,BH-11,BC-19,BS-45,BQ-41
BH-10,BH-11,BB-19,BS-45,BQ-41
BJ-10,BH-11,BC-19,BS-45,BQ-41
BI-9,BH-11,BC-19,BS-45,BQ-41
BJ-9,BH-11,BC-19,BS-45,BQ-41
BK-8,BH-11,BC-19,BS-45,BQ-41
BL-8,BH-11,BC-19,BS-45,BQ-41
BK-7,BH-11,BC-19,BS-45,BQ-41
BL-7,BH-11,BC-19,BS-45,BQ-41
BM-7,BH-11,BC-19,BS-45,BQ-41
BL-5,BH-11,BC-19,BS-45,BQ-41
BK-4,BH-11,BB-19,BS-45,BQ-41
